0,1,2,3,4,5,6,7,8,9,10
105.79,47.36,36.46,7.22,42.93,15.69,59.29,32.0,536.97,2.74,1287000064.0
105.39,46.49,36.93,7.06,43.61,15.61,61.75,32.02,542.58,2.69,1260000000.0
104.94,46.38,37.81,7.09,43.23,16.04,63.03,32.2,528.08,2.66,1332000000.0
102.57,45.79,37.34,6.78,42.59,16.02,64.25,31.8,530.73,2.58,1232999936.0
104.14,45.64,37.26,6.72,42.49,15.93,62.52,31.54,536.11,2.59,1206000000.0
102.16,45.09,36.69,6.38,41.87,15.77,63.69,31.13,528.04,2.48,1152000000.0
101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0
100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0
98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0
97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0
99.84,46.93,37.8,6.13,40.84,15.66,62.85,30.98,506.45,2.55,972000000.0
102.8,47.91,37.71,6.44,42.43,15.9,64.25,31.65,514.62,2.55,936000000.0
102.0,46.8,37.95,6.89,42.55,15.99,64.14,31.09,520.04,2.57,963000000.0
103.06,47.45,38.01,6.84,42.84,16.07,64.0,31.81,532.3,2.66,981000000.0
102.7,47.89,38.39,6.89,43.26,16.27,62.48,32.0,538.77,2.67,1017000000.0
102.21,48.05,38.46,6.84,42.98,16.31,64.93,32.01,536.93,2.65,1035000000.0
104.02,47.89,38.79,6.9,42.75,16.31,65.28,32.1,541.52,2.65,1017000000.0
103.95,48.77,38.94,6.94,42.36,16.43,65.22,31.78,537.31,2.66,936000000.0
102.68,48.8,38.54,7.0,41.98,16.45,66.05,31.42,535.28,2.63,990000000.0
100.72,49.16,38.41,6.92,41.47,16.23,66.89,31.02,530.66,2.67,954000000.0
99.77,49.12,38.65,6.72,41.75,16.24,66.34,31.08,529.55,2.67,999000000.0
96.96,48.7,38.46,6.54,41.36,15.77,66.15,30.73,519.46,2.66,945000000.0
96.96,48.52,38.84,6.89,40.76,15.3,64.58,30.16,506.64,2.63,909000000.0
98.32,50.51,38.98,7.05,41.28,15.37,65.53,30.79,505.15,2.58,900000000.0
102.1,50.7,39.56,7.25,42.49,15.69,66.64,31.36,506.91,2.61,945000000.0
102.21,49.29,39.23,7.23,42.13,15.4,65.34,31.42,500.72,2.63,1124999936.0
99.69,49.38,39.23,7.23,41.61,15.13,65.92,31.29,497.06,2.63,1340999936.0
100.58,49.04,38.95,7.19,41.39,14.92,66.41,31.2,501.8,2.66,1152000000.0
100.19,48.18,38.54,6.79,41.03,14.55,64.05,31.07,505.93,2.63,1134000000.0
97.48,46.61,38.28,6.76,40.61,13.79,63.83,30.94,504.01,2.52,1062000000.0
96.72,47.21,38.52,7.11,41.28,13.95,65.75,31.16,510.46,2.39,1098000000.0
99.21,47.33,38.45,7.08,41.42,13.84,68.03,30.85,509.94,2.24,1080000000.0
99.97,48.0,38.67,7.27,41.0,13.98,69.21,31.19,520.39,2.45,1026000000.0
