longitude,latitude,housing_median_age,total_rooms,population,households,median_income,median_house_value,x1,x2,x3,is_train
-120.86,37.49,37.0,1084.0,893.0,236.0,1.6213,69500.0,0.010710948911851377,-0.2630386112370121,-0.5784637987304178,True
-117.64,34.07,30.0,2787.0,2647.0,693.0,2.2765,98100.0,0.05120882568567449,0.03135885252677852,0.05646917476706302,True
-121.77,37.99,4.0,5623.0,2429.0,716.0,5.4409,205100.0,-0.8691488952484279,-0.08340516286761238,0.024283169029214492,True
-119.8,36.73,45.0,925.0,797.0,228.0,1.7011,44800.0,0.8701875659601902,-0.5040912507024857,-1.310833891236747,True
-121.3,38.58,29.0,2748.0,1619.0,525.0,2.8966,92400.0,-0.31724191476865277,0.17050004811424105,0.4488217038530579,True
-120.41,38.03,14.0,2061.0,859.0,462.0,2.1289,115300.0,0.40867918104380146,0.019141953770637776,-0.05537309291115665,True
-117.35,34.01,23.0,3707.0,1938.0,658.0,2.725,95300.0,0.2911684957988229,0.09205758026288628,0.132245947721435,True
-121.18,38.78,13.0,3480.0,1432.0,532.0,6.1642,277800.0,-0.1978384325218069,0.25813039032202423,0.6122620472235035,True
-121.52,38.53,31.0,3089.0,1366.0,561.0,4.2885,160300.0,-0.4749676680853321,0.15259683532384835,0.4471689439160278,True
-122.0,38.23,1.0,2062.0,872.0,268.0,5.2636,191300.0,-0.9558973477768189,0.0540822084065824,0.3459570806122886,True
-117.33,34.08,37.0,2267.0,1175.0,403.0,3.75,95200.0,0.323152156028007,0.06748122180961517,0.07082331623499186,True
-116.98,34.07,21.0,739.0,199.0,82.0,4.8958,117500.0,0.6153744154250304,0.13487376324663392,0.14881515553939165,True
-120.62,37.35,20.0,1457.0,1000.0,346.0,1.4615,69200.0,0.26520451919511145,-0.2917922814331769,-0.7019997294294562,True
-119.78,36.75,49.0,1175.0,982.0,278.0,1.2937,52000.0,0.9002812655728603,-0.4918410417214258,-1.291176107938581,True
-121.35,38.01,15.0,2682.0,1520.0,601.0,3.5982,94400.0,-0.47509119026528795,-0.08002346367954652,-0.06211590767878173,True
-119.0,35.36,35.0,1021.0,1258.0,239.0,1.7375,48600.0,-1.0833166417998712,-0.6390035524993274,-1.1411992496253582,True
-117.25,34.06,18.0,5009.0,2948.0,963.0,3.0042,106500.0,0.38703653422285295,0.08811639617847021,0.10079601828543268,True
-119.08,36.21,20.0,1911.0,1241.0,348.0,2.5156,59300.0,0.2665338106927152,-0.8041100515847411,-1.824018542180065,True
-119.55,36.51,46.0,55.0,26.0,5.0,4.125,67500.0,0.7716942760394921,-0.6355779477024248,-1.5752737882287273,True
-117.98,34.07,15.0,3543.0,3131.0,823.0,3.0184,139400.0,-0.24761145630099368,0.004758815813795346,0.06936176277706906,True
