longitude,latitude,housing_median_age,total_rooms,population,households,median_income,median_house_value,x1,x2,x3,is_train
-117.2,32.8,34.0,4854.0,2089.0,854.0,3.8542,200000.0,0.45103110953728115,0.2767718913582303,0.49331661569503626,True
-117.22,32.87,14.0,3512.0,1835.0,792.0,3.35,171000.0,0.4885352844282711,0.2153158903007443,0.518266636532027,True
-117.25,32.74,36.0,3548.0,1648.0,866.0,2.6962,288200.0,0.425286193954834,0.33662145125794835,0.4795498709555509,True
-122.31,37.54,49.0,1340.0,660.0,284.0,4.163,393800.0,-0.6542648502541124,-0.15063250182693338,-0.6678799727150797,True
-122.21,37.47,43.0,733.0,497.0,175.0,3.2708,255300.0,-0.6781158412116431,-0.2741165697853794,-0.7146751990749325,True
-122.19,37.44,38.0,3383.0,1203.0,465.0,9.3198,500001.0,-0.6935313903537467,-0.3014326780577914,-0.7349331602529605,True
-124.14,40.8,32.0,1373.0,872.0,306.0,2.5,72600.0,0.12421154292803997,-1.3609694704910809,-0.13756601203949806,True
-122.46,37.71,49.0,1711.0,1138.0,325.0,2.875,225000.0,-0.5646040493386992,0.03696713723642262,-0.5445901296414907,True
-117.21,33.13,15.0,1889.0,754.0,409.0,2.2278,132800.0,0.6091034706968738,-0.032410323642370745,0.5889333752279267,True
-117.05,32.67,16.0,2168.0,1589.0,338.0,5.4863,153800.0,0.3589310331620072,0.3577664039502096,0.4187430888421169,True
-119.85,34.48,23.0,1915.0,724.0,267.0,6.2987,348200.0,-0.5390440900016852,0.6156742212821458,-0.40951994214529314,True
-122.41,37.61,43.0,1934.0,847.0,300.0,4.7381,347400.0,-0.6261642808176057,-0.029111382057024,-0.6173063183461069,True
-122.04,36.98,35.0,2155.0,866.0,335.0,5.6188,404700.0,-0.975891092716907,-0.5252328213946023,-1.0533785767422486,True
-121.92,36.95,29.0,3457.0,1327.0,563.0,3.6597,252300.0,-0.9630031503454582,-0.657066692836169,-1.0658680801868905,True
-122.5,37.76,52.0,2018.0,1142.0,463.0,3.7083,307700.0,-0.5352757894320559,0.08489833786103605,-0.5068173485292451,True
-123.59,38.8,17.0,5202.0,1742.0,803.0,3.1201,176100.0,0.31597621082931643,0.5452100049529661,0.41243663146097503,True
-118.14,33.78,42.0,1898.0,940.0,483.0,3.4107,233300.0,0.3137437383968769,-0.6268285010709712,0.18727746405478402,True
-120.83,35.32,11.0,3252.0,1814.0,660.0,3.2226,183200.0,-1.1277089121953903,1.615594477450888,-0.7944177171509793,True
-117.34,33.23,11.0,3737.0,2212.0,727.0,3.1062,141000.0,0.6304853688920539,-0.14626224351935815,0.5881635712656604,True
-117.12,32.76,17.0,1559.0,821.0,428.0,2.0139,150000.0,0.42090831802691286,0.3005277937150112,0.46840590077444866,True
-117.17,32.75,28.0,1514.0,540.0,352.0,2.1532,240000.0,0.42080627819254707,0.3163760064880909,0.4713212983059743,True
-117.15,32.8,23.0,2395.0,2284.0,488.0,3.7292,146300.0,0.44634446519845383,0.27102413879496917,0.48764422488385684,True
-118.28,33.74,40.0,1751.0,1939.0,503.0,1.5394,200000.0,0.27060632271895013,-0.5335772041327563,0.16287271065042389,True
-117.09,32.62,37.0,1925.0,1344.0,426.0,2.4866,129700.0,0.3337762172346862,0.4049203389201286,0.4031375588922093,True
-122.25,37.49,40.0,2709.0,1156.0,510.0,4.6366,395500.0,-0.6745974182593129,-0.2257467969136879,-0.7020354150916547,True
-117.06,32.61,23.0,1630.0,1267.0,418.0,2.5625,131100.0,0.3229796410026199,0.4044662320112112,0.39250281729262665,True
-117.1,32.68,45.0,1183.0,900.0,266.0,2.4943,99600.0,0.3716202909766704,0.36110715794491827,0.431776175704491,True
-117.03,32.74,37.0,821.0,404.0,135.0,3.0125,130400.0,0.3997066477580724,0.30137536334605525,0.4478529334273502,True
-119.22,34.18,17.0,3332.0,1797.0,673.0,4.4292,231200.0,-0.2909777130674947,-0.025687313278354707,-0.2891747111340151,True
-120.67,35.3,19.0,1540.0,1799.0,635.0,0.7025,500001.0,-1.1295307063090914,1.4543917916560087,-0.82686611998189,True
-117.12,32.76,26.0,1221.0,620.0,296.0,2.4821,123600.0,0.42090831802691286,0.3005277937150112,0.46840590077444866,True
-120.45,34.65,25.0,980.0,896.0,245.0,2.0,87500.0,-0.5405703394266856,1.2843543248237461,-0.2837960254731504,True
-119.51,34.39,32.0,1921.0,951.0,334.0,3.233,346000.0,-0.474645276282836,0.25108806044126075,-0.41596354301335436,True
-124.08,40.86,18.0,1287.0,805.0,502.0,1.1157,150000.0,0.13295771297823586,-1.445038570031763,-0.14501490899070274,True
-117.27,32.85,34.0,2105.0,780.0,406.0,2.3187,488900.0,0.4822458800303129,0.23738708429036065,0.516320835148757,True
-120.48,34.7,26.0,3069.0,1524.0,539.0,4.3162,136400.0,-0.5732820184059048,1.3282657317460442,-0.30740156077884645,True
-117.18,32.69,44.0,2819.0,1258.0,503.0,4.4777,452800.0,0.3885606553124709,0.36882877612657894,0.4497960813239529,True
-122.23,37.45,29.0,1617.0,758.0,246.0,7.7932,469900.0,-0.6972446678756025,-0.2544304597919052,-0.7296189849532627,True
-117.29,33.04,30.0,2750.0,1281.0,520.0,4.7333,286900.0,0.5669351347769818,0.05308477315956274,0.5639998193217777,True
-117.14,32.71,52.0,500.0,480.0,108.0,1.8696,91100.0,0.39452119147365766,0.344892459140917,0.4510657396019119,True
-117.14,32.71,52.0,979.0,975.0,297.0,1.2375,100000.0,0.39452119147365766,0.344892459140917,0.4510657396019119,True
-117.23,33.1,4.0,1862.0,685.0,248.0,7.745,237400.0,0.5948388852612922,-0.004134491298194844,0.5803761730297379,True
-122.29,37.48,15.0,5480.0,2009.0,831.0,7.4678,500001.0,-0.6913026714063826,-0.1817567631097176,-0.7099875748737904,True
-117.31,33.0,30.0,1631.0,665.0,297.0,6.8443,492500.0,0.5502209363719797,0.0928153891479973,0.5552285740762722,True
-117.25,32.79,37.0,1467.0,651.0,354.0,2.375,340400.0,0.45091184962985975,0.29127845529041996,0.49595994301042245,True
-117.22,32.78,22.0,2020.0,1010.0,429.0,3.4527,175000.0,0.44256568864470935,0.2968832376628017,0.4888719701462858,True
-122.46,37.72,39.0,2254.0,1388.0,404.0,2.9688,232000.0,-0.5575610860643909,0.03792060950962463,-0.5375276971897427,True
-117.05,32.68,35.0,3414.0,1761.0,522.0,3.9922,129800.0,0.36510793571899175,0.35031982253755584,0.4233612787530047,True
-117.11,32.78,16.0,2470.0,1170.0,724.0,3.5562,73500.0,0.4313602989510022,0.2826459800725392,0.47521559691735893,True
-122.29,37.52,38.0,3767.0,1455.0,615.0,6.8787,386800.0,-0.663522923996015,-0.17606390896939644,-0.6817634663171445,True
-121.97,36.96,27.0,4001.0,1808.0,945.0,2.5610000000000004,234600.0,-0.9704285375476726,-0.6026079892559932,-1.0627620865746228,True
-123.73,39.17,20.0,4620.0,1745.0,794.0,2.375,158800.0,0.5102756339512764,0.2101614174432247,0.5385265183092917,True
-119.17,34.22,29.0,4188.0,2783.0,790.0,4.1949,197100.0,-0.30973559383763516,-0.07841642517226999,-0.317532933308679,True
-119.23,34.3,18.0,1713.0,690.0,239.0,6.9483,404300.0,-0.3765949266263695,-0.030162915550728704,-0.37367494615462954,True
-117.18,32.69,52.0,1837.0,668.0,300.0,5.1009,500001.0,0.3885606553124709,0.36882877612657894,0.4497960813239529,True
-118.26,33.77,36.0,886.0,809.0,219.0,2.4545,164200.0,0.2651138289989739,-0.5654569462964028,0.15144143833546023,True
-122.41,37.62,39.0,3119.0,1807.0,696.0,3.2216,242700.0,-0.619164528927604,-0.027954645376723694,-0.6102474331377459,True
-120.69,35.26,20.0,1248.0,722.0,225.0,4.625,221800.0,-1.0799380075907705,1.5043532019394528,-0.7689085629333928,True
-117.16,32.72,24.0,1232.0,1184.0,626.0,1.0391,162500.0,0.4027964033117719,0.34011964110895154,0.4582426741146013,True
-119.79,34.45,24.0,2746.0,1076.0,380.0,5.8635,348700.0,-0.5205153829610225,0.5489060461336163,-0.40411974871535594,True
-120.16,34.61,17.0,921.0,434.0,219.0,3.0185,500001.0,-0.5941999284645176,0.9673279923200496,-0.39650623600285984,True
-117.06,32.77,18.0,2269.0,1329.0,581.0,1.7951,161800.0,0.4207647425440675,0.28336866660640697,0.4650011360708735,True
-117.11,32.7,34.0,2028.0,1797.0,464.0,1.7402,79400.0,0.3848257969337193,0.34734624758258786,0.4420600834454978,True
-117.03,32.6,26.0,1335.0,742.0,215.0,5.152,143400.0,0.31215598621498764,0.40331989120754574,0.3817099235712239,True
-118.28,33.73,52.0,2085.0,1767.0,516.0,2.1935,243200.0,0.2751979918796807,-0.526054456813095,0.16878999915274298,True
-119.79,34.44,25.0,1479.0,977.0,309.0,4.1797,271800.0,-0.5130261670498303,0.547983528654779,-0.3969782269291835,True
-124.17,40.78,39.0,1606.0,731.0,327.0,1.6369,68300.0,0.11371239119369311,-1.3259561008235445,-0.14116254960661925,True
-117.06,32.76,38.0,1549.0,636.0,278.0,3.2188,150500.0,0.41480183817637767,0.2911825285790537,0.4606618986523851,True
-122.08,37.03,36.0,4682.0,2143.0,832.0,4.5096,203700.0,-0.9509731942324059,-0.4777444008048778,-1.0199989950363377,True
-118.19,33.81,21.0,1835.0,1038.0,384.0,4.4559,198500.0,0.2779431778564447,-0.6289255636349532,0.15190104376036181,True
-122.05,36.97,20.0,2428.0,1145.0,454.0,3.6797,263800.0,-0.9859812372604642,-0.5147327127711113,-1.0612391104752605,True
-118.15,33.77,39.0,2428.0,1312.0,612.0,2.7212,266300.0,0.3133302764927069,-0.6143995615298695,0.18923808950933724,True
-117.16,32.73,52.0,1863.0,906.0,493.0,1.9203,195800.0,0.4084393720523309,0.3317392036199543,0.4621615417709936,True
-118.55,33.99,39.0,2603.0,928.0,410.0,7.9096,500001.0,0.027190748993206428,-0.5320456434969736,-0.07465504041407282,True
-117.27,32.84,26.0,3940.0,1180.0,600.0,6.1025,500001.0,0.47745241080090645,0.24679460966740907,0.513427337337494,True
-118.2,33.78,52.0,2662.0,3018.0,763.0,2.3305,162500.0,0.2866587795724828,-0.6007462357239087,0.16577732401251474,True
-117.17,32.69,19.0,2802.0,1159.0,597.0,4.7891,334600.0,0.3871348321435409,0.3669620589786845,0.44804790044820575,True
-118.13,33.79,36.0,1245.0,508.0,221.0,5.3441,480600.0,0.3142375645772846,-0.6392981921866646,0.18538760228839513,True
-117.05,32.77,23.0,2556.0,1200.0,548.0,1.8899,147700.0,0.41982935609126737,0.2818250527681642,0.46379358589163494,True
-119.75,34.4,31.0,1997.0,826.0,301.0,6.8927,500001.0,-0.48510377610176714,0.502329419780601,-0.37838341320458185,True
-117.13,32.7,48.0,786.0,917.0,231.0,1.875,75600.0,0.3874249464276061,0.35118672147709945,0.4453301176630051,True
-117.14,32.73,26.0,450.0,317.0,109.0,4.0,137500.0,0.40599921470079076,0.3284322153429626,0.45914833884633804,True
-118.21,33.8,41.0,1251.0,1053.0,278.0,3.2778,150800.0,0.2733229210830652,-0.6118283207873103,0.15063972965834968,True
-122.22,37.36,34.0,1559.0,600.0,242.0,8.7382,500001.0,-0.7571650832112016,-0.27904209965651156,-0.7928440667381611,True
-119.92,34.44,17.0,2143.0,1073.0,330.0,6.0321,402600.0,-0.5016937720134644,0.6845571949615097,-0.3599235070368764,True
-119.0,34.08,17.0,1822.0,578.0,291.0,5.4346,428600.0,-0.17633666150880872,-0.20702049228763095,-0.21166769005507596,True
-117.09,32.66,37.0,1232.0,1086.0,330.0,1.6389,114300.0,0.35819641968791377,0.37443288096866,0.42119612960388,True
-117.25,32.78,36.0,1527.0,710.0,312.0,2.7857,291700.0,0.44584257549241174,0.30040450629134524,0.49274343146414745,True
-122.32,37.55,44.0,2151.0,849.0,370.0,4.4583,397100.0,-0.6495694259699051,-0.13796212078934733,-0.66088198735826,True
-117.31,33.1,15.0,2392.0,747.0,421.0,3.5341,500001.0,0.5893949910889886,-0.008431992729709407,0.5742398499889274,True
-118.09,33.74,44.0,1671.0,871.0,367.0,4.6369,422200.0,0.3523979750963577,-0.6128142496071535,0.22770917248424305,True
-122.55,37.59,31.0,1331.0,598.0,225.0,4.1827,345500.0,-0.6625115928577362,0.12664968710379887,-0.6231847202630983,True
-118.78,34.05,28.0,1343.0,487.0,199.0,6.83,500001.0,-0.09348856963422653,-0.38260212309031627,-0.16412844568801987,True
-122.48,37.69,42.0,2993.0,1594.0,546.0,4.4821,252400.0,-0.5818214201357295,0.05708846942084589,-0.5575836063870276,True
-122.23,37.46,33.0,2643.0,1015.0,427.0,4.2232,363700.0,-0.6903053583643904,-0.25293397885743685,-0.7225545167967058,True
-122.51,37.76,40.0,2320.0,1499.0,521.0,3.2792,260800.0,-0.5366470203404072,0.09571951284770067,-0.5060983457485129,True
-122.42,37.62,39.0,1355.0,682.0,246.0,6.3443,324700.0,-0.6209978980299756,-0.01676935238222522,-0.6099106706467781,True
-117.22,32.75,34.0,6001.0,2654.0,1072.0,4.5878,291000.0,0.42675462660194674,0.3235452375829174,0.4784968184380968,True
-119.15,34.2,25.0,3445.0,5558.0,894.0,3.0972,169300.0,-0.2919333000645608,-0.09445228751625549,-0.3031907291322657,True
-122.33,37.58,40.0,2362.0,992.0,425.0,4.7917,359900.0,-0.6309146919211643,-0.12261625316117875,-0.6397366291809936,True
-119.88,34.42,22.0,2367.0,1333.0,488.0,3.6304,312200.0,-0.4908923108525962,0.6399866124003901,-0.3578498515082119,True
-117.08,32.75,16.0,1111.0,930.0,303.0,1.2347,128100.0,0.41088248654886406,0.30229025866193493,0.4589458819262653,True
-119.16,34.28,30.0,413.0,400.0,112.0,4.0,219200.0,-0.3493615268409312,-0.09689748806557136,-0.35976379955389065,True
-117.61,33.41,35.0,2556.0,946.0,399.0,6.1557,402900.0,0.6005811654729605,-0.3595056848887719,0.5183777594161567,True
-122.22,37.47,35.0,367.0,398.0,109.0,2.5,166700.0,-0.6807599413428845,-0.26277777583976847,-0.7151013245789918,True
-119.19,34.15,31.0,4175.0,3310.0,954.0,3.1989,185400.0,-0.26482433481567236,-0.04984540978056325,-0.2682186640524401,True
-119.3,34.29,26.0,3665.0,2775.0,870.0,1.9286,160500.0,-0.38088866065343935,0.04072685670739803,-0.3643833216937317,True
